Session          | Pos | Previous two   | Matches | Distribution                         | Actual | Verdict    | Correct streak
-----------------+-----+----------------+---------+--------------------------------------+--------+------------+---------------
draw-12609040191 |   3 | 7-12 -> 7-12   |       0 | No history                           | 7-12   | NO_HISTORY |              0
draw-12609040191 |   4 | 7-12 -> 7-12   |       0 | No history                           | 1-6    | NO_HISTORY |              0
draw-12609040191 |   5 | 7-12 -> 1-6    |       0 | No history                           | 13-18  | NO_HISTORY |              0
draw-12609040191 |   6 | 1-6 -> 13-18   |       0 | No history                           | 13-18  | NO_HISTORY |              0
draw-12609040191 |   7 | 13-18 -> 13-18 |       0 | No history                           | 1-6    | NO_HISTORY |              0
draw-12608180151 |   3 | Zero -> 1-6    |       0 | No history                           | 1-6    | NO_HISTORY |              0
draw-12608180151 |   4 | 1-6 -> 1-6     |       0 | No history                           | 1-6    | NO_HISTORY |              0
draw-12608180151 |   5 | 1-6 -> 1-6     |       0 | No history                           | 1-6    | NO_HISTORY |              0
draw-12608180151 |   6 | 1-6 -> 1-6     |       0 | No history                           | 1-6    | NO_HISTORY |              0
draw-12608180151 |   7 | 1-6 -> 1-6     |       0 | No history                           | 1-6    | NO_HISTORY |              0
draw-12608180151 |   8 | 1-6 -> 1-6     |       0 | No history                           | 7-12   | NO_HISTORY |              0
draw-12608180151 |   9 | 1-6 -> 7-12    |       0 | No history                           | 7-12   | NO_HISTORY |              0
draw-12608180151 |  10 | 7-12 -> 7-12   |       0 | No history                           | 1-6    | NO_HISTORY |              0
draw-12609040191 |   8 | 13-18 -> 1-6   |       1 | 1-6 0%, 7-12 100%, 13-18 0%, Zero 0% | 13-18  | INCORRECT  |              0
draw-12609040191 |   9 | 1-6 -> 13-18   |       0 | No history                           | 7-12   | NO_HISTORY |              0
draw-12609040191 |  10 | 13-18 -> 7-12  |       0 | No history                           | 13-18  | NO_HISTORY |              0
draw-12609040201 |   3 | 13-18 -> 1-6   |       0 | No history                           | 7-12   | NO_HISTORY |              0
draw-12609040201 |   4 | 1-6 -> 7-12    |       0 | No history                           | 1-6    | NO_HISTORY |              0
draw-12609040201 |   5 | 7-12 -> 1-6    |       1 | 1-6 0%, 7-12 0%, 13-18 100%, Zero 0% | 1-6    | INCORRECT  |              0
draw-12609040201 |   6 | 1-6 -> 1-6     |       0 | No history                           | 13-18  | NO_HISTORY |              0
draw-12609040201 |   7 | 1-6 -> 13-18   |       0 | No history                           | 7-12   | NO_HISTORY |              0
draw-12609040201 |   8 | 13-18 -> 7-12  |       0 | No history                           | 7-12   | NO_HISTORY |              0
draw-12609040201 |   9 | 7-12 -> 7-12   |       0 | No history                           | 13-18  | NO_HISTORY |              0
draw-12609040201 |  10 | 7-12 -> 13-18  |       0 | No history                           | Zero   | NO_HISTORY |              0
draw-12609040211 |   3 | 1-6 -> 13-18   |       0 | No history                           | 7-12   | NO_HISTORY |              0
draw-12609040211 |   4 | 13-18 -> 7-12  |       1 | 1-6 0%, 7-12 0%, 13-18 100%, Zero 0% | 13-18  | CORRECT    |              1
draw-12609040211 |   5 | 7-12 -> 13-18  |       1 | 1-6 0%, 7-12 0%, 13-18 0%, Zero 100% | 13-18  | INCORRECT  |              0
draw-12609040211 |   6 | 13-18 -> 13-18 |       0 | No history                           | 7-12   | NO_HISTORY |              0
draw-12609040211 |   7 | 13-18 -> 7-12  |       0 | No history                           | 13-18  | NO_HISTORY |              0
draw-12609040211 |   8 | 7-12 -> 13-18  |       0 | No history                           | 1-6    | NO_HISTORY |              0
draw-12609040211 |   9 | 13-18 -> 1-6   |       0 | No history                           | 13-18  | NO_HISTORY |              0
draw-12609040211 |  10 | 1-6 -> 13-18   |       0 | No history                           | 1-6    | NO_HISTORY |              0
draw-12609040221 |   3 | 7-12 -> 1-6    |       0 | No history                           | 13-18  | NO_HISTORY |              0
draw-12609040221 |   4 | 1-6 -> 13-18   |       0 | No history                           | 1-6    | NO_HISTORY |              0
draw-12609040221 |   5 | 13-18 -> 1-6   |       0 | No history                           | Zero   | NO_HISTORY |              0
draw-12609040221 |   6 | 1-6 -> Zero    |       0 | No history                           | 13-18  | NO_HISTORY |              0
draw-12609040221 |   7 | Zero -> 13-18  |       1 | 1-6 100%, 7-12 0%, 13-18 0%, Zero 0% | 1-6    | CORRECT    |              1
draw-12609040221 |   8 | 13-18 -> 1-6   |       2 | 1-6 0%, 7-12 50%, 13-18 50%, Zero 0% | 13-18  | CORRECT    |              1
draw-12609040221 |   9 | 1-6 -> 13-18   |       1 | 1-6 0%, 7-12 100%, 13-18 0%, Zero 0% | 1-6    | INCORRECT  |              0
draw-12609040221 |  10 | 13-18 -> 1-6   |       0 | No history                           | 1-6    | NO_HISTORY |              0
draw-12609040231 |   3 | 13-18 -> 7-12  |       0 | No history                           | 1-6    | NO_HISTORY |              0
draw-12609040231 |   4 | 7-12 -> 1-6    |       0 | No history                           | 7-12   | NO_HISTORY |              0
draw-12609040231 |   5 | 1-6 -> 7-12    |       0 | No history                           | 7-12   | NO_HISTORY |              0
draw-12609040231 |   6 | 7-12 -> 7-12   |       0 | No history                           | 1-6    | NO_HISTORY |              0
draw-12609040231 |   7 | 7-12 -> 1-6    |       0 | No history                           | 13-18  | NO_HISTORY |              0
