Pos | Draw ID             | Result
----+---------------------+-------
  1 | 12609030329         |     10
  2 | 12609030330         |     14
  3 | 12609030331         |      2
  4 | 12609030332         |     10
  5 | 12609030333         |     14
  6 | 12609030334         |     18
  7 | 12609030335         |     10
  8 | 12609030336         |     13
  9 | 12609030337         |      6
 10 | 12609030338         |      1
 11 | 12609030339         |     15
 12 | 12609030340         |      9
 13 | 12609030341         |     15
 14 | 12609030342         |      2
 15 | 12609030343         |      0
 16 | 12609030344         |     17
 17 | 12609030345         |      3
 18 | 12609030346         |      8
 19 | 12609030347         |      5
 20 | 12609030348         |     16
 21 | 12609030349         |     16
 22 | 12609030350         |     15
 23 | 12609030351         |     16
 24 | 12609030352         |      3
 25 | 12609030353         |     11
 26 | 12609030354         |     13
 27 | 12609030355         |     17
 28 | 12609030356         |      2
 29 | 12609030357         |      9
 30 | 12609030358         |     18
 31 | 12609030359         |      2
 32 | 12609030360         |     13
 33 | 12609030361         |      9
 34 | 12609030362         |      7
 35 | 12609030363         |     15
