Session | Pos | Type | Previous two | Matches | Distribution | Actual | Verdict | Correct streak
--------+-----+------+--------------+---------+--------------+--------+---------+---------------
draw-12609020401 | 3 | Color | Gray -> Black | 0 | No history | Zero | NO_HISTORY | 0
draw-12609020401 | 3 | Range | 1-6 -> 1-6 | 0 | No history | Zero | NO_HISTORY | 0
draw-12609020401 | 4 | Color | Black -> Zero | 0 | No history | Zero | NO_HISTORY | 0
draw-12609020401 | 4 | Range | 1-6 -> Zero | 0 | No history | Zero | NO_HISTORY | 0
draw-12609020401 | 5 | Color | Zero -> Zero | 0 | No history | Black | NO_HISTORY | 0
draw-12609020401 | 5 | Range | Zero -> Zero | 0 | No history | 13-18 | NO_HISTORY | 0
draw-12609020401 | 6 | Color | Zero -> Black | 0 | No history | Red | NO_HISTORY | 0
draw-12609020401 | 6 | Range | Zero -> 13-18 | 0 | No history | 13-18 | NO_HISTORY | 0
draw-12609020401 | 7 | Color | Black -> Red | 0 | No history | Black | NO_HISTORY | 0
draw-12609020401 | 7 | Range | 13-18 -> 13-18 | 1 | 1-6 0%, 7-12 100%, 13-18 0%, Zero 0% | 1-6 | INCORRECT | 0
draw-12609020401 | 8 | Color | Red -> Black | 0 | No history | Gray | NO_HISTORY | 0
draw-12609020401 | 8 | Range | 13-18 -> 1-6 | 0 | No history | 7-12 | NO_HISTORY | 0
draw-12609020401 | 9 | Color | Black -> Gray | 0 | No history | Gray | NO_HISTORY | 0
draw-12609020401 | 9 | Range | 1-6 -> 7-12 | 0 | No history | 7-12 | NO_HISTORY | 0
draw-12609020401 | 10 | Color | Gray -> Gray | 0 | No history | Gray | NO_HISTORY | 0
draw-12609020401 | 10 | Range | 7-12 -> 7-12 | 0 | No history | 13-18 | NO_HISTORY | 0
