Session          | Position | Repeated value | Current result | Verdict  
-----------------+----------+----------------+----------------+----------
draw-12609030481 |        1 | Gray           | Red            | INCORRECT
draw-12609030481 |       10 | Red            | Black          | INCORRECT
draw-12609030491 |        3 | Gray           | Zero           | INCORRECT
draw-12609030491 |        7 | Gray           | Black          | INCORRECT
draw-12609030501 |        8 | Black          | Gray           | INCORRECT
draw-12609030521 |        1 | Gray           | Red            | INCORRECT
draw-12609030521 |        3 | Red            | Black          | INCORRECT
draw-12609030521 |        4 | Black          | Black          | CORRECT  
draw-12609030521 |        6 | Red            | Zero           | INCORRECT
draw-12609030521 |        8 | Gray           | Black          | INCORRECT
draw-12609030531 |        4 | Black          | Black          | CORRECT  
draw-12609030541 |        1 | Red            | Red            | CORRECT  
draw-12609030541 |        4 | Black          | Red            | INCORRECT
draw-12609030541 |        8 | Black          | Gray           | INCORRECT
draw-12609030551 |        1 | Red            | Red            | CORRECT  
draw-12609030551 |        2 | Gray           | Gray           | CORRECT  
draw-12609030551 |        5 | Black          | Gray           | INCORRECT
draw-12609030551 |        6 | Black          | Zero           | INCORRECT
draw-12609030551 |        9 | Red            | Gray           | INCORRECT
draw-12609030561 |        1 | Red            | Black          | INCORRECT
draw-12609030561 |        2 | Gray           | Black          | INCORRECT
draw-12609030571 |        8 | Red            | Red            | CORRECT  
draw-12609030571 |        9 | Gray           | Gray           | CORRECT  
draw-12609030581 |        1 | Black          | Red            | INCORRECT
draw-12609030581 |        4 | Red            | Gray           | INCORRECT
draw-12609030581 |        8 | Red            | Black          | INCORRECT
draw-12609030581 |        9 | Gray           | Red            | INCORRECT
draw-12609030591 |        2 | Gray           | Red            | INCORRECT
draw-12609030601 |        1 | Red            | Gray           | INCORRECT
draw-12609030601 |        6 | Gray           | Red            | INCORRECT
draw-12609030601 |        7 | Black          | Red            | INCORRECT
draw-12609030601 |        8 | Black          | Red            | INCORRECT
draw-12609030611 |        3 | Gray           | Red            | INCORRECT
draw-12609030611 |        9 | Gray           | Gray           | CORRECT  
draw-12609030621 |        1 | Gray           | Gray           | CORRECT  
draw-12609030621 |        6 | Red            | Black          | INCORRECT
draw-12609030621 |        9 | Gray           | Gray           | CORRECT  
draw-12609030631 |        1 | Gray           | Black          | INCORRECT
draw-12609030631 |        9 | Gray           | Red            | INCORRECT
