Session          | Position | Repeated value | Current result | Verdict  
-----------------+----------+----------------+----------------+----------
draw-12609030481 |        6 | 13-18          | 7-12           | INCORRECT
draw-12609030491 |        1 | 7-12           | 7-12           | CORRECT  
draw-12609030491 |        4 | 1-6            | 1-6            | CORRECT  
draw-12609030501 |        1 | 7-12           | 7-12           | CORRECT  
draw-12609030501 |        4 | 1-6            | 1-6            | CORRECT  
draw-12609030511 |        1 | 7-12           | 1-6            | INCORRECT
draw-12609030511 |        4 | 1-6            | 1-6            | CORRECT  
draw-12609030511 |       10 | 1-6            | 1-6            | CORRECT  
draw-12609030521 |        4 | 1-6            | 1-6            | CORRECT  
draw-12609030521 |        6 | 7-12           | Zero           | INCORRECT
draw-12609030521 |        8 | 13-18          | 1-6            | INCORRECT
draw-12609030521 |       10 | 1-6            | 7-12           | INCORRECT
draw-12609030531 |        4 | 1-6            | 13-18          | INCORRECT
draw-12609030541 |        7 | 7-12           | 13-18          | INCORRECT
draw-12609030541 |       10 | 7-12           | 13-18          | INCORRECT
draw-12609030551 |        1 | 7-12           | 7-12           | CORRECT  
draw-12609030551 |        2 | 13-18          | 1-6            | INCORRECT
draw-12609030551 |        4 | 13-18          | 1-6            | INCORRECT
draw-12609030551 |        5 | 13-18          | 1-6            | INCORRECT
draw-12609030551 |        8 | 13-18          | 13-18          | CORRECT  
draw-12609030561 |        1 | 7-12           | 7-12           | CORRECT  
draw-12609030561 |        7 | 13-18          | 13-18          | CORRECT  
draw-12609030561 |        8 | 13-18          | 13-18          | CORRECT  
draw-12609030561 |       10 | 13-18          | 1-6            | INCORRECT
draw-12609030571 |        1 | 7-12           | 13-18          | INCORRECT
draw-12609030571 |        5 | 1-6            | 7-12           | INCORRECT
draw-12609030571 |        7 | 13-18          | 7-12           | INCORRECT
draw-12609030571 |        8 | 13-18          | 13-18          | CORRECT  
draw-12609030581 |        6 | 1-6            | 1-6            | CORRECT  
draw-12609030581 |        8 | 13-18          | 1-6            | INCORRECT
draw-12609030581 |       10 | 1-6            | 7-12           | INCORRECT
draw-12609030591 |        2 | 1-6            | 13-18          | INCORRECT
draw-12609030591 |        3 | 13-18          | 1-6            | INCORRECT
draw-12609030591 |        5 | 7-12           | 7-12           | CORRECT  
draw-12609030591 |        6 | 1-6            | 1-6            | CORRECT  
draw-12609030591 |        9 | 7-12           | 1-6            | INCORRECT
draw-12609030601 |        4 | 1-6            | 13-18          | INCORRECT
draw-12609030601 |        5 | 7-12           | 13-18          | INCORRECT
draw-12609030601 |        6 | 1-6            | 1-6            | CORRECT  
draw-12609030611 |        6 | 1-6            | 7-12           | INCORRECT
draw-12609030611 |        8 | 13-18          | Zero           | INCORRECT
draw-12609030611 |       10 | 1-6            | 1-6            | CORRECT  
draw-12609030621 |        4 | 13-18          | 13-18          | CORRECT  
draw-12609030621 |       10 | 1-6            | 1-6            | CORRECT  
draw-12609030631 |        2 | 13-18          | Zero           | INCORRECT
draw-12609030631 |        4 | 13-18          | 13-18          | CORRECT  
draw-12609030631 |        7 | 1-6            | 7-12           | INCORRECT
draw-12609030631 |       10 | 1-6            | 13-18          | INCORRECT
draw-12609030641 |        1 | 1-6            | -              | PENDING  
draw-12609030641 |        3 | 7-12           | -              | PENDING  
draw-12609030641 |        4 | 13-18          | -              | PENDING  
draw-12609030641 |        6 | 13-18          | -              | PENDING  
